article_id,title,section,snippet
35,Knicks Make a So-So Climb Into First Place,Sports,"The Atlantic Division may be mediocre, but the Knicks can claim a modest achievement early in their season - they are in first place."
36,Trade paying dividends in Boston,Sports,"CHICAGO -- Every day you see a little more evidence on the side of the Red Sox, the team that traded a Boston legend for two people most noted for their glove work."
37,Iraqis May Extend Election Amid Violence,World,"BAGHDAD (Reuters) - Iraq may modify plans for its first free election to give people more time to vote next month, officials said on Wednesday as suicide bombers and gunmen again struck Sunni Muslim towns north and west of the capital."
38,Pakistan and India in talks to avert nuclear 'havoc' (AFP),World,AFP - Pakistan and India held talks to hammer out an agreement on giving advance warning of ballistic missile tests and other steps to avert any accidental launch of nuclear weapons.
39,Court Doctors Examine Pinochet for Trial,World,"SANTIAGO, Chile (Reuters) - Three court-appointed doctors examined Chile's former military dictator Augusto Pinochet on Thursday, a key step that will decide whether the 88-year-old general will stand trial for human rights abuses."
40,Jordan #39;s king strips half brother #39;s title,World,King Abdullah II stripped his half brother and heir apparent of his title as crown prince in an abrupt shake-up Sunday aimed at redeeming the full power the king inherited from his late father.
41,11 killed in Philippines blast,World,"An explosion in a public market in the southern Philippines on Sunday killed at least 11 people and injured nearly 30 others, police said."
42,Macy #39;s supplants venerable names,Business,"The Lazarus nameplate, a fixture on the retail landscape for 153 years, is coming off department store signs, joining Shillito #39;s as a defunct brand."
43,Plus a change in Franco-US relations,Business,At meetings of the World Bank and the International Monetary Fund the French said non to the US proposal of writing off 90-95 per cent of Iraqs \$12bn of bilateral debt.
44,US Online Retail Sales Expected To Double In Six Years,Sci/Tech,"Online retail sales in the US are expected to double by 2010, accounting for 12 percent of the total retail sales, a market research firm said Monday."
45,Shevchenko Crowned as Europe #39;s Finest,Sports,Arsenals Thierry Henry today missed out on the European Footballer of the Year award as Andriy Shevchenko took the honour. AC Milan frontman Shevchenko held off competition from Barcelona pair Deco and
46,Rowling reads to gathered fans,World,Harry Potter author JK Rowling delights a small group of fans by giving her first public reading in Scotland for four years.
47,Tribute to a man who could change destiny,Sports,"Brian Clough once said that he feared many things, quot;but most of all I fear failure quot;. Thousands were there at his memorial service last night at Pride Park, appropriately punctured by thunder"
48,Arrington Re-Injures Knee in Practice,Sports,"ASHBURN, Va. - LaVar Arrington strained his right knee in practice Monday, a setback for the three-time Pro Bowl linebacker hoping to play this week after missing four games."
49,Update 4: FDA Wants More Safety Data on Merck Drug,Business,"The Food and Drug Administration told Merck amp; Co. that it requires further safety and efficacy data before it will approve its successor drug to now defunct pain reliever Vioxx, the pharmaceutical maker announced Friday."
50,"African Leaders Seek More Cell Phones, Computers",Sci/Tech,"UNITED NATIONS (Reuters) - African leaders will launch a global fund to help people in poor countries buy mobile phones and Internet access as a step out of poverty and into economic growth, the president of Senegal said on Wednesday."
51,"Americans a Bit Taller, Much Heavier, Report Says (Reuters)",Sci/Tech,"Reuters - Americans are getting taller on\average but they are much heavier too, according to government\figures released on Wednesday showing that the U.S. population\is, literally, growing."
52,FCC OKs Broadband over Power Lines,Sci/Tech,Yesterday #39;s decision by the Federal Communications Commission to remove barriers to the delivery of broadband services over power lines may give consumers a third broadband option.
53,#39;Road map #39; sponsors will send foreign ministers to West Bank next &lt;b&gt;...&lt;/b&gt;,World,"Sponsors of an internationally backed Middle East peace plan will send their foreign ministers to the region next week in hopes of restarting peace talks in the wake of Yasser Arafat #39;s death, Israeli and Palestinian officials said Thursday."
54,Bad Scoring and Slights at the Olympics,Sports,"Michael Wilbon is wrong Sports, Aug. 22. Paul Hamm should turn in his gold medal, which he did not earn."
55,Dokic Dumped Out of China Open in First Round,Sports,"BEIJING (Reuters) - Jelena Dokic ran true to the miserable form she has shown this season, falling 6-3, 6-0 to Thailand's Tamarine Tanasugarn in the first round of the China Open on Tuesday."
56,Steroid details rock sports,Sports,"A simmering steroid scandal that has plagued baseball for nearly a year began to boil over Thursday, with the promise of more eruptions tonight."
57,Charging Els moves to the top,Sports,"Wild weather seems to bring out the best in Ernie Els, who was both steady and spectacular yesterday in a cool rain, warm sunshine, and blustery conditions for an 8-under"
58,Yanks Stop the Talks to Acquire Johnson,Sports,"Frustrated by the demands of the Arizona Diamondbacks, the Yankees cut off trade talks for the ace left-hander Randy Johnson."
59,French watchdog fines Messier 1m,Business,"Frances AMF market watchdog slapped a one million euro fine on Jean-Marie Messier, the disgraced former chairman of Vivendi Universal , on Tuesday following allegations the media firm had published misleading financial information."
60,Indonesia prepares for elections,World,Indonesians go to the polls to choose their next president on Monday amid tight security following the Australian embassy bombing in Jakarta.
61,Russian hostage town mourners vent anger at Putin,World,Hundreds of people took to the streets of Beslan on Wednesday to vent anger at Russian President Vladmimir Putin and demand the resignation of regional
62,FASB Delays Options Expensing Rule,Business,"Bowing to corporate pressure, the group that sets standards for the US accounting industry said on Wednesday it postponed the implementation of compulsory expensing of employee"
63,HP buys British services company Synstar,Sci/Tech,"Hewlett-Packard completes its \$293 million bid for the company, in a move to better compete against IBM."
64,Buckeyes' offense earns no style points in victory,Sports,"COLUMBUS, Ohio -- Lydell Ross rushed for 141 yards and a touchdown, and No. 9 Ohio State's defenders stymied Cincinnati in a 27-6 win yesterday.Justin Zwick, seeing his first substantial playing time at quarterback for the Buckeyes, threw two interceptions and had four fumbles in a rough outing. He completed 14 of 26 passes for 213 yards and a touchdown."
65,Former NFL lineman going to jail,Sports,"Phoenix, AZ (Sports Network) - Luis Sharpe, a former offensive lineman for the Arizona Cardinals, has been sentenced to 2 1/2 years in state prison."
66,Marsh ex-CEO exercises stock options,Business,"WASHINGTON -- Jeffrey W. Greenberg, who resigned this week as chairman and chief executive of Marsh amp; McLennan Cos. Inc., amid a regulatory inquiry into its policies, exercised options to obtain 540,000 shares"
67,Bank of America to Move Part of Business to Boston,Business,The move concentrates one of the company's four major business lines in the city and seeks to reassure Massachusetts officials that it is committed to the Northeast.
68,Messina upsets AC Milan; Juventus leads Serie A,Sports,"Messina upset defending champion AC Milan 2-1 Wednesday, while Juventus won its third straight game to stay alone atop the Italian league standings."
69,Mozilla Firefox: The Searcher's Browser,Sci/Tech,Looking for an alternative to Internet Explorer that addresses IE's notorious security flaws and has killer search capabilities to boot? Look no farther: Firefox is truly a searcher's browser.
70,Hurricane Ivan blows price of oil higher,Business,US crude leapt about \$1.50-a-barrel yesterday as petroleum giants evacuated thousands of workers from the Gulf of Mexico ahead of Hurricane Ivan.
71,Jackson Squares Off With Attorney,World,"SANTA MARIA, Calif. - Fans of Michael Jackson erupted in cheers Monday as the pop star emerged from a double-decker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on child molestation charges..."
72,Sony in tune over digital music,Sci/Tech,"But, if the digital music player becomes as ubiquitous as the VCR, at least there won #39;t be thousands of us forever cursing: #39;I bought a bloody Sony."
73,EBay Reorganizes Senior Management,Sci/Tech,"EBay Inc. announced a senior management reorganization Thursday, increasing international responsibilities for three executives and underscoring the significance of the company's tremendously profitable PayPal division."
74,J.C. Penney Posts Second-Quarter Profit,Business,NEW YORK (Reuters) - Department store operator J.C. Penney Co. Inc.
75,Discounts Benefit Oil Producers,Business,"During a year of high oil prices that have boosted energy company profits, the U.S. government continues to dole out millions of dollars in discounts to oil producers under a program created when prices were low."
76,Graham finally admits he #39;s coach who turned in THG syringe,Sports,A mystery at the center of track and field #39;s biggest doping scandal has finally been solved. Top track coach Trevor Graham has admitted he was the coach who anonymously sent a syringe of THG to the US Anti
77,Mobile Phone Gaming to Top  #36;1 Billion in '04 (Reuters),Sci/Tech,"Reuters - Video game and mobile phone companies\are set to make money this year as customers use phones to zap\space invaders or sink game-winning golf putts, pushing the\mobile gaming market over #36;1 billion, a study said."
78,"MSN fighting Messenger difficulties, virus",Sci/Tech,"People using Microsoft #39;s instant-messaging software, MSN Messenger, may have been a mite lonely this weekend, with only a virus to keep them company."
79,UPDATE 1-Birmingham #39;s Savage banned for three games by FA,Sports,Birmingham City midfielder Robbie Savage has accepted a three-match ban after being charged by the Football Association (FA) on Monday with violent conduct for an alleged elbowing incident in a match at the weekend.
80,Irish coach unpacks his bags,Sports,"South Bend, Ind.- The bags under the eyes that hung heavy and seemed to age Notre Dame coach Ty Willingham beyond his years are gone."
81,18 Holes on 2 Wheels,Sci/Tech,"Is the Segway a futuristic, two-wheeled, self-balancing ""human transporter"" headed for the golf course?"
82,Foreigners Blocked From Bush Site,Sci/Tech,"Surfers trying to view President Bush's official campaign website are finding it a tad difficult to get in. No explanation has been given, even though the site works just fine in the United States."
83,Best Buy 2Q Earnings Rise on Cost Controls (AP),Business,AP - Consumer electronics retailer Best Buy Co. said Wednesday that second-quarter earnings rose on cost controls and improved margins to beat Wall Street expectations.
84,Six found guilty in Pitcairn trials,World,ELEANOR HALL: Now to the judgment in the sex abuse trial on Pitcairn Island. A short time ago the court on the Island handed down a guilty verdict against all but one of the seven men who had been charged with offences ranging from indecency to rape.
85,England end at 217/10,Sports,"London, Sep 25. Put into bat by West Indies captain Brian Lara, England managed to score just 217 with two balls to spare in their allotted overs during their ICC clash here today."
86,High court to hear wine case,Business,Juanita Swedenburg first planted grapes 24 years ago to help pay the taxes on her 130-acre Valley View Farm near Middleburg in the heart of Virginia #39;s hunt country.
87,A quiet top gun,Business,"Ever hear of Ed Owens? I doubt it. Owens is one of the more publicity-shy executives at Wellington Management Co., itself one of the most publicity-averse investment firms in Boston."
88,Investigators Find Explosives in Russia Plane Wreck,World,"MOSCOW (Reuters) - Explosive of a kind used by Chechen rebels has been found in one of two airliners that crashed simultaneously, Russian investigators said, making it look ever likelier that the disaster was a political attack."
89,High-tech start-ups feel push to outsource,Business,Venture capitalists have a pressing new question for high-tech entrepreneurs who come looking for money: What's your India plan?
90,Asian Stocks Ease After China Rate Rise (Reuters),Business,"Reuters - China's surprise interest rate rise\weighed down Asian stocks on Friday as investors sold shares of\miners, shippers and other firms whose fortunes have been\closely linked to the country's rapid growth."
91,"Indians, Hernandez finalize 1-year deal",Sports,"The Indians have added an infielder and brought back their closer, but their pursuit of a starting pitcher has not gone according to plan."
92,"G20 opposes  quot;abrupt changes quot; in forex, oil; sees slowdown in 2005",Business,"The finance chiefs of the Group of 20 countries oppose quot;abrupt changes quot; in foreign exchange rates and in oil prices and see a slight slowdown in economic growth next year, German Finance Minister Hans Eichel said."
93,Tiger Woods marries Swedish fiance in Barbados resort,Sports,"SANDY LANE BEACH, Barbados - Tiger Woods is back ashore in Barbados, with the Swedish model who is apparently his new wife. Witnesses say the golf star married Elin Nordegren in a spectacular sunset ceremony"
94,British Ex-Guantanamo Detainees Sue Rumsfeld (Reuters),World,Reuters - Four British former inmates of the\U.S. detention center at Guantanamo Bay sued Defense Secretary\Donald Rumsfeld and others Wednesday saying they were tortured\in violation of U.S. and international law.
95,Dollar Slips Vs Yen as U.S. Data Awaited,Business,"TOKYO (Reuters) - The dollar edged down against the yen on Monday, extending losses made after a decline in U.S. producer prices led investors to question whether the Federal Reserve would raise interest rates in September and beyond."
96,"Astronauts, Not Robots Should Upgrade Hubble-Panel (Reuters)",Sci/Tech,"Reuters - Shuttle astronauts would do a better\job of upgrading NASA's aging Hubble Space Telescope than\space-faring robots -- with less risk, astronautical experts\reported on Wednesday."
97,News of AIG federal inquiry drags blue-chips into the red,Business,"US BLUE-CHIP stocks slid lower yesterday, pulled down by industrial bellwether Caterpillar, but technology shares remained higher after EBay posted strong earnings."
98,Fable creator explains online apology,World,Games guru Peter Molyneux says he felt a duty to explain why some features are missing in his latest title.
99,Norway envoy meets with Tamil Tigers,World,"Norwegian peace envoy Erik Solheimmet Wednesday with Tamil Tigers leaders at the rebel-held northerntown of Kilinochchi in a fresh attempt to revive Sri Lanka #39;s peacetalks, the national television reported."
100,Intel awaits government move on expensing options,Sci/Tech,"Figuring it's had enough of fighting over options, the chip giant is waiting to see what Congress comes up with."
101,In Brief: Bowstreet unveils pre-packaged portal offerings (InfoWorld),Sci/Tech,"InfoWorld - Bowstreet this week launched its Enterprise Portal Solutions, a set of portal-based composite applications designed to bolster employee, partner, and customer productivity."
102,"Update 1: Yukos Cuts Output Forecast, Shares Fall",Business,Beleaguered Russian oil company Yukos announced Monday that it had reduced its crude output forecast for the year as bailiffs continued to collect cash against the company #39;s crushing back taxes bill from its frozen bank accounts.
103,"Before Helping the Red Sox to a Championship, Schilling Helped &lt;b&gt;...&lt;/b&gt;",Sports,"CURT SCHILLING, who was instrumental in helping the Boston Red Sox win the World Series for the first time in 86 years, had a better year than people realize."
104,Kazaa mounts Betamax defence,Sci/Tech,SYDNEY - Lawyers for the file-swapping service Kazaa argued in an Australian court yesterday that their software is analogous to the old Betamax videocassette recorders.
105,"Stocks End Higher, Lifted by Data",Business,"NEW YORK (Reuters) - U.S. stocks ended higher on Tuesday, even as oil prices hit another record, as investors were encouraged by data showing an easing of inflationary pressure and a sharp rebound in the housing market."
106,U.S. Economic Slowdown Was Less Abrupt (Reuters),Business,"Reuters - A slowdown in U.S. economic growth\during the second quarter of the year was not as sharp as\previously thought, the Commerce Department reported on\Wednesday, partly because businesses built up inventories at\the strongest rate in four years."
107,Blast at Pakistan Shiite Mosque Kills 14,World,"ISLAMABAD, Pakistan - An explosion ripped through a Shiite Muslim mosque in the eastern Pakistani city of Sialkot during Friday prayers, killing at least 14 people and wounding dozens, police said. Witnesses reported that a man with a briefcase entered the mosque shortly before the blast and the briefcase had exploded, Sialkot police chief Nisar Ahmed said..."
108,Wolfsburg remains top,Sports,"Martin Petrov put the home side ahead early, but Kaiserslautern #39;s Carsten Jancker made it 1-1 with just eight minutes remaining."
109,Colts carry hot streak into Detroit,Sports,"The Indianapolis Colts have been on the fast track since October gave way to November. Thursday in Detroit #39;s Ford Field, they #39;ll share the traditional Thanksgiving Day"
110,Stocks Rally on Lower Oil Prices,Business,"Stocks rallied in quiet trading Wednesday as lower oil prices brought out buyers, countering a pair of government reports that gave a mixed picture of the economy."
111,"US, Germany Strike Deal on Iraq Debt Write-Off",World,"The United States, Germany and other G7 nations agreed on Saturday to write off up to 80 percent of Iraq #39;s \$120 billion foreign debt in a move that could"
112,"NASCAR gets its drama, but cost might be high",Sports,"Its been a dozen years since the final race of the NASCAR season could promise this kind of suspense. When the checkered flag drops Sunday with the Nextel Cup Chase championship on the line, three of the"
113,Weekly Jobless Claims Fall Sharply,Business,"The number of new people signing up for jobless benefits plunged last week, partly reflecting a tapering off of filings related to Hurricane Charley."
114,Newest discoveries puts known number of satellites at 33,Sci/Tech,"A camera aboard the Cassini spacecraft flying in orbit around Saturn has discovered two of the tiniest moons in the solar system -- one barely 2 miles in diameter and the other only a half-mile larger, astronomers reported Monday."
115,Yukos faces oil production halt,World,"Yukos, the Russian oil giant, could be forced to halt production because of a new court order, the company says."
116,Nintendo says 12 DS games to debut in Japan,Sci/Tech,TOKYO - Nintendo says it will make available 12 software titles for its new quot;DS quot; handheld game console when the dual-screen machine debuts in Japan on Dec. 2. Nintendo is gearing up to defend its market share
117,Badgers #39; defense posts best month since  #39;51,Sports,"They #39;ve allowed just 19 points in their 4-0 start, making up for the loss of star tailback Anthony Davis to an eye injury for the last 3 games."
118,X-43A Jet Breaks Air Speed Record,Sci/Tech,"NASA's X-43A 'scramjet' now holds the jet aircraft speed record after hitting a top speed of Mach 9.6, or nearly 6,600 mph. Engineers say the technology could find its way into military and commercial aircraft. By Amit Asaravala."
119,Long return lifts Ravens,Sports,"Jamal Lewis scored the decisive touchdown with 7:03 left following a 7-yard punt, and Ed Reed sealed the victory with an NFL-record 106-yard interception return in the waning seconds as the Baltimore Ravens beat the Cleveland Browns, 27-13, Sunday."
120,Is Piracy Pushing Linux Sales?,Sci/Tech,"More PCs run the alternative OS, but many will end up with a pirated version of Windows, report says."
121,Jacques Villeneuve: The team and I share a common goal,Sports,"As his position with Renault for the final three races of 2004 was announced today, Jacques Villeneuve spoke positively about the future."
122,Yesterday in parliament,World,"The prime minister insisted no decision had yet been taken on sending British troops to relieve US allies in Iraq. Repeatedly challenged at prime minister #39;s question time, Mr Blair said it was a military decision"
123,"Nokia, Vodafone team up on Java effort",Sci/Tech,"Nokia and Vodafone have positioned themselves at the forefront of further developing Java for mobile devices, with the ultimate aim being more consistent platforms for developers across various handsets."
124,Battle for supremacy,Sports,A coherent argument can usually be made in support of the view that the World Cup doesn #39;t really begin until the knock-out stages get going.
125,Astronauts May Soon Wear Germ-Fighting Clothes,Sci/Tech,"KINSTON, N.C. (AP) -- Deep in the Atlantic Ocean, undersea explorers are living a safer life thanks to germ-fighting clothing made in Kinston..."
126,Comcast High-Speed Customers Up Strongly,Business,"NEW YORK (Reuters) - Comcast Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CMCSA.O target=/stocks/quickinfo/fullquote""&gt;CMCSA.O&lt;/A&gt;, the largest U.S. cable operator, on Wednesday posted a quarterly profit that fell short of Wall Street forecasts but reported better-than-expected gains in high-speed Internet customers."
127,Election doubt as UN staff ask to pull out,World,Fresh doubts were raised over the feasibility of holding elections in Iraq yesterday with reports that the already minuscule United Nations team there wants to pull out because of the dangerous security situation.
128,Intels extreme step for Gamers,Sci/Tech,AMD released two extremely powerful chips recently after Intel had to back down from the plan of manufacturing a 4GHz version of their Pentium 4 processor.
129,Walk in park for Yankees,Sports,"Drained by a difficult week, the New York Yankees needed an uplifting victory. That's exactly what they got yesterday."
130,National defence top priority: Shaukat Aziz,World,ISLAMABAD: The Newly elected Prime Minister Shaukat Aziz Friday vowed to ensure good governance in the country which would give priority to merit and ability in all fields.
131,Two bombs explode in Thailand injuring 20,World,": Two bombs exploded Friday near a teashop and wounded 20 people in southern Thailand, police said, asviolence continued unabated in the Muslim-majority region whereresidents are seething over the deaths of 78 men while in"
132,Stereo sun birds study space weather,Sci/Tech,AUSTRALIAN scientists are working with NASA and the French government to create an advanced space weather instrument that will go on board the STEREO (Solar-Terrestrial Relations Observatory) space mission next year.
133,Scientists left to pick up the pieces over the \$250m can that fell &lt;b&gt;...&lt;/b&gt;,Sci/Tech,"Stunned British and American scientists watched a seven-year dream fall to Earth yesterday at 150mph, potentially smashing the fruits of a \$250m mission."
134,Intel Takes on Gamers with  #39;Extreme #39; Chipset,Sci/Tech,"Following a similar chip announcement from AMD in mid-October, Intel this week has released a chip targeting the gamer segment. The Pentium 4 processor Extreme Edition supporting Hyper-Threading (HT) technology"
135,Intel defeats AMD in court,Sci/Tech,"The documents in question were brought to court during Intel #39;s legal battle with Intergraph. AMD believes they show its arch-rival to be guilty of anti-competitive behaviour, which is why it wanted the EC to take a look."
136,Phelps Will Finish Olympics As a Spectator,World,"ATHENS, Greece - Michael Phelps doesn't mind making history while sitting in the stands. The man who dominated the attention at the Olympic pool gave up a coveted spot on the 400-meter medley relay team to Ian Crocker..."
137,House Backs Looser Cuba Sanctions (Reuters),World,"Reuters - The U.S. House of Representatives on\Wednesday defied the White House and voted to ease limits on\U.S. student travel and trade with Cuba, but defeated a measure\that would have lifted all economic sanctions."
138,Transmeta bets on LongRun2,Sci/Tech,"While Intel Corp. and Advanced Micro Devices Inc. continue bringing low-power mobile chips to market, Transmeta Corp."
139,"U.S. Stocks Rise; Oil, Gold Fall",Business,NEW YORK (Reuters) - A decline in the price of oil helped lift U.S. stocks to their highest level in two-months on Tuesday.
140,Mercedes and GM to develop hybrid cars,Business,"General Motors and DaimlerChrysler have announced plans to join forces to develop a new generation of hybrid-powered vehicles, underlining the potential for environmentally friendly cars which use much less fuel."
141,World Briefings,World,"GULF MINISTERS WANT SYRIA OUT OF LEBANON Gulf state ministers urged Syria to respect a Security Council resolution demanding that it withdraw its troops from Lebanon, a rare public intervention in the affairs of a fellow Arab nation."
142,Stocks Open Flat,Business,"NEW YORK (Reuters) - U.S. stocks were little changed in early trade on Tuesday, as a report of a possible \$24 billion takeover of cardiovascular device maker Guidant Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GDT.N target=/stocks/quickinfo/fullquote""&gt;GDT.N&lt;/A&gt; by Johnson Johnson &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=JNJ.N target=/stocks/quickinfo/fullquote""&gt;JNJ.N&lt;/A&gt; and easing oil prices provided support."
143,Dollar Struggles Near Recent Lows,Business,TOKYO (Reuters) - The dollar struggled near recent lows on Thursday after soft U.S. manufacturing data failed to dispel concerns that the U.S. economy may be running out of steam.
144,"China, 15 Other Countries Consider NASA Exploration (Reuters)",Sci/Tech,Reuters - China and 15 other countries joined
145,Baseball can #39;t hold out any longer on steroid issue,Sports,"We now know what it takes to break through the institutional indifference of Major League Baseball to the drug abuse among its players, including its biggest stars."
146,Locusts Menace Quarter of West Africa Crops-Experts (Reuters),Sci/Tech,"Reuters - West Africa may lose up to a quarter\of its grain harvest this year if the worst locust infestation\for 15 years is not brought under control, regional agriculture\experts warned."
147,PeopleSoft executive Gupta departs,Sci/Tech,"Ram Gupta, who was an executive vice president, leaves the company after a four-year stint. PeopleSoft is mum on the details."
148,Blair fine after heart operation :,World,"World News gt; London, Oct 01 : British Prime Minister Tony Blair today underwent a non-surgical operation to correct a heart flutter and is quot;doing ok quot;."
149,IBM upgrades blade servers,Sci/Tech,"IBM will soon begin shipping upgraded models of its HS20 and JS20 blade servers, including a new SCSI option for the HS20 that will double the number of SCSI blades that users can fit into a single chassis."
150,Picture 3 of 8: Microsoft's new Media Center push,Sci/Tech,"Software maker heads to LA to show off a host of gadgets that use one or another Microsoft technology to access movies, music and video."
151,Warning over Internet Sales of Fake Viagra,Sci/Tech,"Half of the Viagra tablets bought on the internet could be fakes, research suggested today. Researchers analysed samples of the impotence drug bought online using"
